player_name,passing_yards,passing_tds,rushing_yards,rushing_tds,receiving_yards,receptions,receiving_tds,week,season
A.Abdullah,0.0,0.0,1.0,0.0,24.0,2.0,0.0,18,2025
A.Barner,0.0,0.0,0.0,0.0,14.0,2.0,0.0,18,2025
A.Beck,0.0,0.0,0.0,0.0,2.0,1.0,1.0,18,2025
A.Dillon,0.0,0.0,0.0,0.0,3.0,1.0,0.0,18,2025
A.Dulin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2025
A.Estime,0.0,0.0,63.0,0.0,43.0,5.0,0.0,18,2025
A.Firkser,0.0,0.0,0.0,0.0,2.0,2.0,0.0,18,2025
A.Hooper,0.0,0.0,0.0,0.0,5.0,1.0,0.0,18,2025
A.Ingold,0.0,0.0,0.0,0.0,3.0,1.0,0.0,18,2025
A.Iosivas,0.0,0.0,0.0,0.0,10.0,2.0,0.0,18,2025
A.Jeanty,0.0,0.0,87.0,0.0,7.0,3.0,0.0,18,2025
A.Mitchell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2025
A.O'Connell,102.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2025
A.Pierce,0.0,0.0,0.0,0.0,132.0,4.0,2.0,18,2025
A.Rodgers,294.0,1.0,0.0,0.0,0.0,0.0,0.0,18,2025
A.Smith,0.0,0.0,2.0,0.0,0.0,0.0,0.0,18,2025
A.St. Brown,0.0,0.0,0.0,0.0,139.0,11.0,0.0,18,2025
A.Thielen,0.0,0.0,0.0,0.0,43.0,3.0,0.0,18,2025
B.Allen,72.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2025
B.Bates,0.0,0.0,0.0,0.0,6.0,1.0,0.0,18,2025
B.Brooks,0.0,0.0,63.0,0.0,0.0,0.0,0.0,18,2025
B.Cook,60.0,1.0,2.0,0.0,0.0,0.0,0.0,18,2025
B.Corum,0.0,0.0,59.0,0.0,10.0,1.0,0.0,18,2025
B.Covey,0.0,0.0,0.0,0.0,20.0,2.0,0.0,18,2025
B.Irving,0.0,0.0,85.0,0.0,13.0,1.0,0.0,18,2025
B.Mayfield,203.0,1.0,0.0,0.0,0.0,0.0,0.0,18,2025
B.Melton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2025
B.Nix,141.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2025
B.Purdy,127.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2025
B.Robinson,0.0,0.0,42.0,0.0,10.0,3.0,0.0,18,2025
B.Sims,0.0,0.0,0.0,0.0,18.0,1.0,0.0,18,2025
B.Sinnott,0.0,0.0,0.0,0.0,3.0,2.0,0.0,18,2025
B.Smith,0.0,0.0,56.0,0.0,2.0,2.0,0.0,18,2025
B.Spann-Ford,0.0,0.0,0.0,0.0,30.0,2.0,0.0,18,2025
B.Strange,0.0,0.0,0.0,0.0,52.0,6.0,1.0,18,2025
B.Thomas,0.0,0.0,0.0,0.0,49.0,3.0,0.0,18,2025
B.Tremayne,0.0,0.0,0.0,0.0,27.0,2.0,0.0,18,2025
B.Tuten,0.0,0.0,23.0,1.0,0.0,0.0,0.0,18,2025
B.Whiteheart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2025
B.Young,266.0,2.0,0.0,0.0,0.0,0.0,0.0,18,2025
B.Yurosek,0.0,0.0,0.0,0.0,9.0,1.0,0.0,18,2025
C.Austin,0.0,0.0,0.0,0.0,55.0,3.0,1.0,18,2025
C.Brooks,0.0,0.0,61.0,0.0,0.0,0.0,0.0,18,2025
C.Brown,0.0,0.0,72.0,0.0,12.0,4.0,1.0,18,2025
C.Dike,0.0,0.0,0.0,0.0,27.0,3.0,0.0,18,2025
C.Godwin,0.0,0.0,0.0,0.0,8.0,1.0,0.0,18,2025
C.Ham,0.0,0.0,1.0,1.0,6.0,1.0,0.0,18,2025
C.Hubbard,0.0,0.0,10.0,0.0,7.0,2.0,0.0,18,2025
C.Kiner,0.0,0.0,13.0,0.0,15.0,2.0,0.0,18,2025
C.Kirk,0.0,0.0,0.0,0.0,-3.0,1.0,0.0,18,2025
C.Kmet,0.0,0.0,0.0,0.0,16.0,2.0,0.0,18,2025
C.Kupp,0.0,0.0,0.0,0.0,29.0,2.0,0.0,18,2025
C.Lamb,0.0,0.0,0.0,0.0,4.0,1.0,0.0,18,2025
C.Loveland,0.0,0.0,0.0,0.0,91.0,10.0,1.0,18,2025
C.Manhertz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2025
C.McCaffrey,0.0,0.0,23.0,0.0,34.0,6.0,0.0,18,2025
C.Okonkwo,0.0,0.0,0.0,0.0,2.0,2.0,0.0,18,2025
C.Oladokun,58.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2025
C.Otton,0.0,0.0,0.0,0.0,94.0,7.0,1.0,18,2025
C.Parkinson,0.0,0.0,0.0,0.0,36.0,4.0,2.0,18,2025
C.Rodriguez,0.0,0.0,65.0,1.0,18.0,1.0,0.0,18,2025
C.Stover,0.0,0.0,0.0,0.0,9.0,1.0,0.0,18,2025
C.Stroud,169.0,1.0,2.0,1.0,0.0,0.0,0.0,18,2025
C.Sutton,0.0,0.0,0.0,0.0,5.0,1.0,0.0,18,2025
C.Tillman,0.0,0.0,0.0,0.0,23.0,1.0,0.0,18,2025
C.Tune,34.0,0.0,7.0,0.0,0.0,0.0,0.0,18,2025
C.Ward,52.0,0.0,7.0,1.0,0.0,0.0,0.0,18,2025
C.Williams,212.0,2.0,0.0,0.0,0.0,0.0,0.0,18,2025
C.Wilson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2025
Co.Heyward,0.0,0.0,2.0,1.0,3.0,1.0,0.0,18,2025
D.Allen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2025
D.Bellinger,0.0,0.0,0.0,0.0,38.0,2.0,1.0,18,2025
D.Brown,0.0,0.0,0.0,0.0,8.0,1.0,0.0,18,2025
D.Cooper,0.0,0.0,0.0,0.0,33.0,3.0,0.0,18,2025
D.Dabney,0.0,0.0,0.0,0.0,3.0,1.0,0.0,18,2025
D.Davis,0.0,0.0,0.0,0.0,7.0,1.0,0.0,18,2025
D.Douglas,0.0,0.0,0.0,0.0,29.0,2.0,0.0,18,2025
D.Giddens,0.0,0.0,30.0,0.0,0.0,0.0,0.0,18,2025
D.Henry,0.0,0.0,126.0,0.0,0.0,0.0,0.0,18,2025
D.Hopkins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2025
D.Johnson,0.0,0.0,13.0,0.0,0.0,0.0,0.0,18,2025
D.Kincaid,0.0,0.0,0.0,0.0,48.0,3.0,0.0,18,2025
D.Knox,0.0,0.0,0.0,0.0,24.0,2.0,1.0,18,2025
D.London,0.0,0.0,0.0,0.0,78.0,4.0,1.0,18,2025
D.Martin-Robinson,0.0,0.0,0.0,0.0,14.0,1.0,0.0,18,2025
D.Maye,191.0,1.0,0.0,0.0,0.0,0.0,0.0,18,2025
D.Mills,36.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2025
D.Montgomery,0.0,0.0,42.0,0.0,13.0,1.0,0.0,18,2025
D.Mooney,0.0,0.0,0.0,0.0,20.0,3.0,0.0,18,2025
D.Moore,0.0,0.0,0.0,0.0,11.0,1.0,0.0,18,2025
D.Ogunbowale,0.0,0.0,3.0,0.0,6.0,1.0,0.0,18,2025
D.Pettis,0.0,0.0,0.0,0.0,60.0,5.0,0.0,18,2025
D.Pierce,0.0,0.0,10.0,0.0,0.0,0.0,0.0,18,2025
D.Prescott,70.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2025
D.Robinson,0.0,0.0,0.0,0.0,24.0,3.0,0.0,18,2025
D.Sample,0.0,0.0,0.0,0.0,17.0,3.0,0.0,18,2025
D.Sampson,0.0,0.0,32.0,0.0,12.0,2.0,0.0,18,2025
D.Samuel,0.0,0.0,1.0,0.0,20.0,2.0,0.0,18,2025
D.Schultz,0.0,0.0,0.0,0.0,73.0,4.0,0.0,18,2025
D.Sills,0.0,0.0,0.0,0.0,11.0,1.0,0.0,18,2025
D.Singletary,0.0,0.0,26.0,1.0,0.0,0.0,0.0,18,2025
D.Slayton,0.0,0.0,0.0,0.0,34.0,4.0,0.0,18,2025
D.Smith,0.0,0.0,0.0,0.0,52.0,3.0,0.0,18,2025
D.Swift,0.0,0.0,40.0,0.0,8.0,1.0,0.0,18,2025
D.Thornton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2025
D.Walker,0.0,0.0,0.0,0.0,46.0,2.0,1.0,18,2025
E.Ayomanor,0.0,0.0,0.0,0.0,50.0,3.0,0.0,18,2025
E.Chism,0.0,0.0,0.0,0.0,35.0,1.0,0.0,18,2025
E.Demercado,0.0,0.0,29.0,0.0,28.0,1.0,0.0,18,2025
E.Egbuka,0.0,0.0,0.0,0.0,8.0,1.0,0.0,18,2025
E.Engram,0.0,0.0,0.0,0.0,45.0,3.0,0.0,18,2025
E.Higgins,0.0,0.0,0.0,0.0,28.0,3.0,0.0,18,2025
E.Hull,0.0,0.0,11.0,0.0,0.0,0.0,0.0,18,2025
E.Saubert,0.0,0.0,0.0,0.0,10.0,2.0,0.0,18,2025
E.Wilson,0.0,0.0,44.0,0.0,4.0,1.0,0.0,18,2025
G.Calcaterra,0.0,0.0,0.0,0.0,21.0,2.0,1.0,18,2025
G.Davis,0.0,0.0,0.0,0.0,41.0,5.0,1.0,18,2025
G.Dulcich,0.0,0.0,0.0,0.0,31.0,3.0,0.0,18,2025
G.Kittle,0.0,0.0,0.0,0.0,29.0,5.0,0.0,18,2025
G.Olszewski,0.0,0.0,0.0,0.0,102.0,8.0,0.0,18,2025
G.Pickens,0.0,0.0,0.0,0.0,9.0,1.0,0.0,18,2025
H.Haskins,0.0,0.0,3.0,0.0,0.0,0.0,0.0,18,2025
H.Henry,0.0,0.0,0.0,0.0,56.0,5.0,0.0,18,2025
H.Luepke,0.0,0.0,12.0,0.0,4.0,1.0,0.0,18,2025
I.Bond,0.0,0.0,4.0,0.0,13.0,1.0,0.0,18,2025
