log_date,season,week,game_id,gameday,home_team,away_team,bet_type,recommended_team,spread_line,total_line,moneyline_odds,model_probability,edge,confidence_tier,actual_home_score,actual_away_score,bet_result,bet_profit
2025-11-03 20:10:55,2025,10,2025_10_ATL_IND,2025-11-09,IND,ATL,moneyline_underdog,ATL,5.5,48.5,225.0,0.2696367573704362,-0.0380555503218715,Standard,,,pending,
2025-11-03 20:10:55,2025,10,2025_10_NO_CAR,2025-11-09,CAR,NO,moneyline_underdog,NO,5.5,39.5,195.0,0.3446354401884337,0.005652389340976,Standard,,,pending,
2025-11-03 20:10:55,2025,10,2025_10_NYG_CHI,2025-11-09,CHI,NYG,moneyline_underdog,NYG,3.5,48.5,154.0,0.2583442514460877,-0.1353565359554871,Standard,,,pending,
2025-11-03 20:10:55,2025,10,2025_10_JAX_HOU,2025-11-09,HOU,JAX,moneyline_underdog,JAX,1.5,37.5,105.0,0.241110074308902,-0.2466948037398784,Standard,,,pending,
2025-11-03 20:10:55,2025,10,2025_10_CLE_NYJ,2025-11-09,NYJ,CLE,moneyline_underdog,CLE,1.5,36.5,110.0,0.2486457364864677,-0.2275447397040084,Standard,,,pending,
2025-11-03 20:10:55,2025,10,2025_10_NE_TB,2025-11-09,TB,NE,moneyline_underdog,NE,2.5,48.5,120.0,0.2698146686043202,-0.1847307859411343,Standard,,,pending,
2025-11-03 20:10:55,2025,10,2025_10_LA_SF,2025-11-09,SF,LA,moneyline_underdog,SF,-3.5,49.5,154.0,0.2601603395246639,-0.1335404478769108,Standard,,,pending,
2025-11-03 20:10:55,2025,10,2025_10_PIT_LAC,2025-11-09,LAC,PIT,moneyline_underdog,PIT,3.0,45.5,130.0,0.280913902426015,-0.1538687062696371,Standard,,,pending,
2025-11-03 20:10:55,2025,10,2025_10_PHI_GB,2025-11-10,GB,PHI,moneyline_underdog,PHI,2.5,44.5,120.0,0.3000035586257731,-0.1545418959196813,Standard,,,pending,
2025-11-03 20:10:55,2025,11,2025_11_TB_BUF,2025-11-16,BUF,TB,moneyline_underdog,Pick,0.0,0.0,0.0,0.2490333674186145,,Standard,,,pending,
2025-11-03 20:10:55,2025,11,2025_11_CHI_MIN,2025-11-16,MIN,CHI,moneyline_underdog,Pick,0.0,0.0,0.0,0.2539573567443324,,Standard,,,pending,
2025-11-03 20:10:55,2025,12,2025_12_MIN_GB,2025-11-23,GB,MIN,moneyline_underdog,Pick,0.0,0.0,0.0,0.2438301989601019,,Standard,,,pending,
2025-11-03 20:10:55,2025,15,2025_15_CLE_CHI,2025-12-14,CHI,CLE,moneyline_underdog,Pick,0.0,0.0,0.0,0.2414144566934673,,Standard,,,pending,
2025-11-03 20:10:55,2025,18,2025_18_DET_CHI,2026-01-04,CHI,DET,moneyline_underdog,Pick,0.0,0.0,0.0,0.2507951782079542,,Standard,,,pending,
2025-11-03 20:43:41,2025,10,2025_10_LV_DEN,2025-11-06 00:00:00,DEN,LV,spread,LV,9.5,42.5,,0.3481085766865708,-0.1757009471229529,Standard,,,pending,
2025-11-03 20:43:41,2025,10,2025_10_ATL_IND,2025-11-09 00:00:00,IND,ATL,spread,ATL,5.5,48.5,,0.4714092557532938,-0.0407858661979256,Standard,,,pending,
2025-11-03 20:43:41,2025,10,2025_10_NO_CAR,2025-11-09 00:00:00,CAR,NO,spread,NO,5.5,39.5,,0.3424646819843799,-0.1858372048080729,Standard,,,pending,
2025-11-03 20:43:41,2025,10,2025_10_NYG_CHI,2025-11-09 00:00:00,CHI,NYG,spread,NYG,3.5,48.5,,0.372700147881478,-0.1511093759280458,Standard,,,pending,
2025-11-03 20:43:41,2025,10,2025_10_JAX_HOU,2025-11-09 00:00:00,HOU,JAX,spread,JAX,1.5,37.5,,0.4231396034758159,-0.1051622833166369,Standard,,,pending,
2025-11-03 20:43:41,2025,10,2025_10_BUF_MIA,2025-11-09 00:00:00,MIA,BUF,spread,MIA,-9.5,50.5,,0.3401676242953177,-0.1836418995142061,Standard,,,pending,
2025-11-03 20:43:41,2025,10,2025_10_BAL_MIN,2025-11-09 00:00:00,MIN,BAL,spread,MIN,-3.5,48.5,,0.3786363257037706,-0.1562473952264619,Standard,,,pending,
2025-11-03 20:43:41,2025,10,2025_10_CLE_NYJ,2025-11-09 00:00:00,NYJ,CLE,spread,CLE,1.5,36.5,,0.4190220758803473,-0.0931730460708722,Standard,,,pending,
2025-11-03 20:43:41,2025,10,2025_10_NE_TB,2025-11-09 00:00:00,TB,NE,spread,NE,2.5,48.5,,0.3422073148351579,-0.1699878071160616,Standard,,,pending,
2025-11-03 20:43:41,2025,10,2025_10_ARI_SEA,2025-11-09 00:00:00,SEA,ARI,spread,ARI,7.0,45.5,,0.3693312379829035,-0.142863883968316,Standard,,,pending,
2025-11-03 20:43:41,2025,10,2025_10_LA_SF,2025-11-09 00:00:00,SF,LA,spread,SF,-3.5,49.5,,0.3649520921865972,-0.1699316287436352,Standard,,,pending,
2025-11-03 20:43:41,2025,10,2025_10_DET_WAS,2025-11-09 00:00:00,WAS,DET,spread,WAS,-7.5,50.5,,0.3776074735827886,-0.1345876483684309,Standard,,,pending,
2025-11-03 20:43:41,2025,10,2025_10_PIT_LAC,2025-11-09 00:00:00,LAC,PIT,spread,PIT,3.0,45.5,,0.4710035347458891,-0.0572983520465636,Standard,,,pending,
2025-11-03 20:43:41,2025,10,2025_10_PHI_GB,2025-11-10 00:00:00,GB,PHI,spread,PHI,2.5,44.5,,0.418685650895936,-0.1005451183348332,Standard,,,pending,
2025-11-03 20:43:41,2025,11,2025_11_NYJ_NE,2025-11-13 00:00:00,NE,NYJ,spread,Pick,0.0,0.0,,0.3420048067520249,,Standard,,,pending,
2025-11-03 20:43:41,2025,11,2025_11_CAR_ATL,2025-11-16 00:00:00,ATL,CAR,spread,Pick,0.0,0.0,,0.3414150161934673,,Standard,,,pending,
2025-11-03 20:43:41,2025,11,2025_11_CHI_MIN,2025-11-16 00:00:00,MIN,CHI,spread,Pick,0.0,0.0,,0.3402222006354078,,Standard,,,pending,
2025-11-03 20:43:41,2025,11,2025_11_SF_ARI,2025-11-16 00:00:00,ARI,SF,spread,Pick,0.0,0.0,,0.3421762161999593,,Standard,,,pending,
2025-11-03 20:43:41,2025,11,2025_11_DET_PHI,2025-11-16 00:00:00,PHI,DET,spread,Pick,0.0,0.0,,0.4028079853748224,,Standard,,,pending,
2025-11-03 20:43:41,2025,11,2025_11_DAL_LV,2025-11-17 00:00:00,LV,DAL,spread,Pick,0.0,0.0,,0.3412878903508107,,Standard,,,pending,
2025-11-03 20:43:41,2025,12,2025_12_BUF_HOU,2025-11-20 00:00:00,HOU,BUF,spread,Pick,0.0,0.0,,0.3447101437603066,,Standard,,,pending,
2025-11-03 20:43:41,2025,12,2025_12_NYJ_BAL,2025-11-23 00:00:00,BAL,NYJ,spread,Pick,0.0,0.0,,0.3406817954300069,,Standard,,,pending,
2025-11-03 20:43:41,2025,12,2025_12_NE_CIN,2025-11-23 00:00:00,CIN,NE,spread,Pick,0.0,0.0,,0.3490092914877883,,Standard,,,pending,
2025-11-03 20:43:41,2025,12,2025_12_MIN_GB,2025-11-23 00:00:00,GB,MIN,spread,Pick,0.0,0.0,,0.3458602360855794,,Standard,,,pending,
2025-11-03 20:43:41,2025,12,2025_12_IND_KC,2025-11-23 00:00:00,KC,IND,spread,Pick,0.0,0.0,,0.3489914955472135,,Standard,,,pending,
2025-11-03 20:43:41,2025,12,2025_12_PHI_DAL,2025-11-23 00:00:00,DAL,PHI,spread,Pick,0.0,0.0,,0.343067629545635,,Standard,,,pending,
2025-11-03 20:43:41,2025,12,2025_12_ATL_NO,2025-11-23 00:00:00,NO,ATL,spread,Pick,0.0,0.0,,0.3434879924557972,,Standard,,,pending,
2025-11-03 20:43:41,2025,13,2025_13_GB_DET,2025-11-27 00:00:00,DET,GB,spread,Pick,0.0,0.0,,0.3401472340653664,,Standard,,,pending,
2025-11-03 20:43:41,2025,13,2025_13_CHI_PHI,2025-11-28 00:00:00,PHI,CHI,spread,Pick,0.0,0.0,,0.3649874180761454,,Standard,,,pending,
2025-11-03 20:43:41,2025,13,2025_13_SF_CLE,2025-11-30 00:00:00,CLE,SF,spread,Pick,0.0,0.0,,0.3428866469629144,,Standard,,,pending,
2025-11-03 20:43:41,2025,13,2025_13_NO_MIA,2025-11-30 00:00:00,MIA,NO,spread,Pick,0.0,0.0,,0.340971757109233,,Standard,,,pending,
2025-11-03 20:43:41,2025,13,2025_13_MIN_SEA,2025-11-30 00:00:00,SEA,MIN,spread,Pick,0.0,0.0,,0.3491695800818733,,Standard,,,pending,
2025-11-03 20:43:41,2025,13,2025_13_LV_LAC,2025-11-30 00:00:00,LAC,LV,spread,Pick,0.0,0.0,,0.3407838247750459,,Standard,,,pending,
2025-11-03 20:43:41,2025,13,2025_13_BUF_PIT,2025-11-30 00:00:00,PIT,BUF,spread,Pick,0.0,0.0,,0.3457507359717924,,Standard,,,pending,
