feature,importance_mean,model
spread_line,0.13327497,spread
homeTeamWinPct,0.13019204,spread
homeTeamAvgPointDiff,0.12970962,spread
awayTeamWinPct,0.12515801,spread
homeTeamSpreadCoveredPct,0.12141166,spread
homeTeamBlowoutPct,0.12073388,spread
awayTeamBlowoutPct,0.1200389,spread
awayTeamSpreadCoveredPct,0.11948094,spread
spread_line,0.1690154,moneyline
awayTeamWinPct,0.13733985,moneyline
homeTeamWinPct,0.12713191,moneyline
homeTeamAvgTotal,0.12442013,moneyline
homeTeamSpreadCoveredPct,0.117767476,moneyline
homeTeamBlowoutPct,0.1132688,moneyline
homeTeamOverHitPct,0.10926843,moneyline
awayTeamGamesPlayed,0.10178799,moneyline
homeTeamOverHitPct,0.16168651,totals
awayTeamBlowoutPct,0.15419792,totals
home_spread_odds,0.14282376,totals
homeTeamAvgPointSpread,0.14131825,totals
awayTeamAvgTotal,0.1395115,totals
over_odds,0.13233486,totals
total_line,0.12812726,totals
