week,date,home_team,away_team,venue,status
1,2025-09-04,PHI,DAL,Lincoln Financial Field,REG
1,2025-09-05,LAC,KC,SoFi Stadium,REG
1,2025-09-07,ATL,TB,Mercedes-Benz Stadium,REG
1,2025-09-07,CLE,CIN,FirstEnergy Stadium,REG
1,2025-09-07,IND,MIA,Lucas Oil Stadium,REG
1,2025-09-07,JAX,CAR,TIAA Bank Stadium,REG
1,2025-09-07,NE,LV,Gillette Stadium,REG
1,2025-09-07,NO,ARI,Mercedes-Benz Superdome,REG
1,2025-09-07,NYJ,PIT,MetLife Stadium,REG
1,2025-09-07,WAS,NYG,FedExField,REG
1,2025-09-07,DEN,TEN,Empower Field at Mile High,REG
1,2025-09-07,SEA,SF,Lumen Field,REG
1,2025-09-07,GB,DET,Lambeau Field,REG
1,2025-09-07,LA,HOU,SoFi Stadium,REG
1,2025-09-07,BUF,BAL,New Era Field,REG
1,2025-09-08,CHI,MIN,Soldier Field,REG
2,2025-09-11,GB,WAS,Lambeau Field,REG
2,2025-09-14,BAL,CLE,M&T Bank Stadium,REG
2,2025-09-14,CIN,JAX,Paycor Stadium,REG
2,2025-09-14,DAL,NYG,AT&T Stadium,REG
2,2025-09-14,DET,CHI,Ford Field,REG
2,2025-09-14,MIA,NE,Hard Rock Stadium,REG
2,2025-09-14,NO,SF,Mercedes-Benz Superdome,REG
2,2025-09-14,NYJ,BUF,MetLife Stadium,REG
2,2025-09-14,PIT,SEA,Acrisure Stadium,REG
2,2025-09-14,TEN,LA,Nissan Stadium,REG
2,2025-09-14,ARI,CAR,State Farm Stadium,REG
2,2025-09-14,IND,DEN,Lucas Oil Stadium,REG
2,2025-09-14,KC,PHI,GEHA Field at Arrowhead Stadium,REG
2,2025-09-14,MIN,ATL,U.S. Bank Stadium,REG
2,2025-09-15,HOU,TB,NRG Stadium,REG
2,2025-09-15,LV,LAC,Allegiant Stadium,REG
3,2025-09-18,BUF,MIA,New Era Field,REG
3,2025-09-21,CAR,ATL,Bank of America Stadium,REG
3,2025-09-21,CLE,GB,FirstEnergy Stadium,REG
3,2025-09-21,JAX,HOU,TIAA Bank Stadium,REG
3,2025-09-21,MIN,CIN,U.S. Bank Stadium,REG
3,2025-09-21,NE,PIT,Gillette Stadium,REG
3,2025-09-21,PHI,LA,Lincoln Financial Field,REG
3,2025-09-21,TB,NYJ,Raymond James Stadium,REG
3,2025-09-21,TEN,IND,Nissan Stadium,REG
3,2025-09-21,WAS,LV,FedExField,REG
3,2025-09-21,LAC,DEN,SoFi Stadium,REG
3,2025-09-21,SEA,NO,Lumen Field,REG
3,2025-09-21,CHI,DAL,Soldier Field,REG
3,2025-09-21,SF,ARI,Levi's Stadium,REG
3,2025-09-21,NYG,KC,MetLife Stadium,REG
3,2025-09-22,BAL,DET,M&T Bank Stadium,REG
4,2025-09-25,ARI,SEA,State Farm Stadium,REG
4,2025-09-28,PIT,MIN,Acrisure Stadium,REG
4,2025-09-28,ATL,WAS,Mercedes-Benz Stadium,REG
4,2025-09-28,BUF,NO,New Era Field,REG
4,2025-09-28,DET,CLE,Ford Field,REG
4,2025-09-28,HOU,TEN,NRG Stadium,REG
4,2025-09-28,NE,CAR,Gillette Stadium,REG
4,2025-09-28,NYG,LAC,MetLife Stadium,REG
4,2025-09-28,TB,PHI,Raymond James Stadium,REG
4,2025-09-28,LA,IND,SoFi Stadium,REG
4,2025-09-28,SF,JAX,Levi's Stadium,REG
4,2025-09-28,KC,BAL,GEHA Field at Arrowhead Stadium,REG
4,2025-09-28,LV,CHI,Allegiant Stadium,REG
4,2025-09-28,DAL,GB,AT&T Stadium,REG
4,2025-09-29,MIA,NYJ,Hard Rock Stadium,REG
4,2025-09-29,DEN,CIN,Empower Field at Mile High,REG
5,2025-10-02,LA,SF,SoFi Stadium,REG
5,2025-10-05,CLE,MIN,FirstEnergy Stadium,REG
5,2025-10-05,BAL,HOU,M&T Bank Stadium,REG
5,2025-10-05,CAR,MIA,Bank of America Stadium,REG
5,2025-10-05,IND,LV,Lucas Oil Stadium,REG
5,2025-10-05,NO,NYG,Mercedes-Benz Superdome,REG
5,2025-10-05,NYJ,DAL,MetLife Stadium,REG
5,2025-10-05,PHI,DEN,Lincoln Financial Field,REG
5,2025-10-05,ARI,TEN,State Farm Stadium,REG
5,2025-10-05,SEA,TB,Lumen Field,REG
5,2025-10-05,CIN,DET,Paycor Stadium,REG
5,2025-10-05,LAC,WAS,SoFi Stadium,REG
5,2025-10-05,BUF,NE,New Era Field,REG
5,2025-10-06,JAX,KC,TIAA Bank Stadium,REG
6,2025-10-09,NYG,PHI,MetLife Stadium,REG
6,2025-10-12,NYJ,DEN,MetLife Stadium,REG
6,2025-10-12,BAL,LA,M&T Bank Stadium,REG
