player_id,player_name,game_id,season,week,team,opponent,passing_yards,pass_tds,completions,attempts,interceptions,game_date,completion_pct,passing_yards_L3,passing_yards_L5,passing_yards_L10,pass_tds_L3,pass_tds_L5,pass_tds_L10,completions_L3,completions_L5,completions_L10,attempts_L3,attempts_L5,attempts_L10,interceptions_L3,interceptions_L5,interceptions_L10,is_home,opponent_def_rank,days_rest
00-0019596,T.Brady,2020_01_TB_NO,2020,1,TB,NO,239.0,2.0,23.0,40.0,2.0,2020-09-13,57.5,,,,,,,,,,,,,,,,1,1,7
00-0019596,T.Brady,2020_02_CAR_TB,2020,2,TB,CAR,217.0,1.0,23.0,35.0,1.0,2020-09-20,65.7,239.0,239.0,239.0,2.0,2.0,2.0,23.0,23.0,23.0,40.0,40.0,40.0,2.0,2.0,2.0,1,1,7
00-0019596,T.Brady,2020_03_TB_DEN,2020,3,TB,DEN,297.0,3.0,25.0,40.0,0.0,2020-09-27,62.5,228.0,228.0,228.0,1.5,1.5,1.5,23.0,23.0,23.0,37.5,37.5,37.5,1.5,1.5,1.5,1,1,7
00-0019596,T.Brady,2020_04_LAC_TB,2020,4,TB,LAC,369.0,5.0,30.0,46.0,1.0,2020-10-04,65.2,251.0,251.0,251.0,2.0,2.0,2.0,23.666666666666668,23.666666666666668,23.666666666666668,38.333333333333336,38.333333333333336,38.333333333333336,1.0,1.0,1.0,0,1,7
00-0019596,T.Brady,2020_05_TB_CHI,2020,5,TB,CHI,253.0,1.0,25.0,44.0,0.0,2020-10-08,56.8,294.3333333333333,280.5,280.5,3.0,2.75,2.75,26.0,25.25,25.25,40.333333333333336,40.25,40.25,0.6666666666666666,1.0,1.0,1,1,7
00-0019596,T.Brady,2020_06_GB_TB,2020,6,TB,GB,166.0,2.0,17.0,27.0,0.0,2020-10-18,63.0,306.3333333333333,275.0,275.0,3.0,2.4,2.4,26.666666666666668,25.2,25.2,43.333333333333336,41.0,41.0,0.3333333333333333,0.8,0.8,1,1,7
00-0019596,T.Brady,2020_07_TB_LV,2020,7,TB,LV,369.0,4.0,33.0,45.0,0.0,2020-10-25,73.3,262.6666666666667,260.4,256.8333333333333,2.6666666666666665,2.4,2.3333333333333335,24.0,24.0,23.833333333333332,39.0,38.4,38.666666666666664,0.3333333333333333,0.4,0.6666666666666666,0,1,7
00-0019596,T.Brady,2020_08_TB_NYG,2020,8,TB,NYG,279.0,2.0,28.0,43.0,0.0,2020-11-02,65.1,262.6666666666667,290.8,272.85714285714283,2.3333333333333335,3.0,2.5714285714285716,25.0,26.0,25.142857142857142,38.666666666666664,40.4,39.57142857142857,0.0,0.2,0.5714285714285714,0,1,7
00-0019596,T.Brady,2020_09_NO_TB,2020,9,TB,NO,209.0,0.0,22.0,41.0,3.0,2020-11-08,53.7,271.3333333333333,287.2,273.625,2.6666666666666665,2.8,2.5,26.0,26.6,25.5,38.333333333333336,41.0,40.0,0.0,0.2,0.5,1,1,7
00-0019596,T.Brady,2020_10_TB_CAR,2020,10,TB,CAR,341.0,3.0,28.0,40.0,0.0,2020-11-15,70.0,285.6666666666667,255.2,266.44444444444446,2.0,1.8,2.2222222222222223,27.666666666666668,25.0,25.11111111111111,43.0,40.0,40.111111111111114,1.0,0.6,0.7777777777777778,1,1,7
00-0019596,T.Brady,2020_11_LA_TB,2020,11,TB,LA,216.0,2.0,26.0,49.0,2.0,2020-11-23,53.1,276.3333333333333,272.8,273.9,1.6666666666666667,2.2,2.3,26.0,25.6,25.4,41.333333333333336,39.2,40.1,1.0,0.6,0.7,0,1,7
00-0019596,T.Brady,2020_12_KC_TB,2020,12,TB,KC,345.0,3.0,27.0,42.0,2.0,2020-11-29,64.3,255.33333333333334,282.8,271.6,1.6666666666666667,2.2,2.3,25.333333333333332,27.4,25.7,43.333333333333336,43.6,41.0,1.6666666666666667,1.0,0.7,0,1,7
00-0019596,T.Brady,2020_14_MIN_TB,2020,14,TB,MIN,196.0,2.0,15.0,23.0,0.0,2020-12-13,65.2,300.6666666666667,278.0,284.4,2.6666666666666665,2.0,2.5,27.0,26.2,26.1,43.666666666666664,43.0,41.7,1.3333333333333333,1.4,0.8,0,1,7
00-0019596,T.Brady,2020_15_TB_ATL,2020,15,TB,ATL,390.0,2.0,31.0,48.0,0.0,2020-12-20,64.6,252.33333333333334,261.4,274.3,2.3333333333333335,2.0,2.4,22.666666666666668,23.6,25.1,38.0,39.0,40.0,1.3333333333333333,1.4,0.8,1,1,7
00-0019596,T.Brady,2020_16_TB_DET,2020,16,TB,DET,348.0,4.0,22.0,28.0,0.0,2020-12-26,78.6,310.3333333333333,297.6,276.4,2.3333333333333335,2.4,2.1,24.333333333333332,25.4,25.2,37.666666666666664,40.4,40.2,0.6666666666666666,0.8,0.7,0,1,7
00-0019596,T.Brady,2020_17_ATL_TB,2020,17,TB,ATL,399.0,4.0,26.0,42.0,1.0,2021-01-03,61.9,311.3333333333333,299.0,285.9,2.6666666666666665,2.6,2.4,22.666666666666668,24.2,24.9,33.0,38.0,38.6,0.0,0.8,0.7,1,1,7
00-0019596,T.Brady,2020_18_TB_WAS,2020,18,TB,WAS,381.0,2.0,22.0,43.0,0.0,2021-01-09,51.2,379.0,335.6,309.2,3.3333333333333335,3.0,2.6,26.333333333333332,24.2,25.8,39.333333333333336,36.6,40.1,0.3333333333333333,0.6,0.8,1,1,7
00-0019596,T.Brady,2020_19_TB_NO,2020,19,TB,NO,199.0,2.0,18.0,34.0,0.0,2021-01-17,52.9,376.0,342.8,310.4,3.3333333333333335,2.8,2.4,23.333333333333332,23.2,24.7,37.666666666666664,36.8,39.9,0.3333333333333333,0.2,0.8,1,1,7
00-0019596,T.Brady,2020_20_TB_GB,2020,20,TB,GB,280.0,3.0,20.0,37.0,3.0,2021-01-24,54.1,326.3333333333333,343.4,302.4,2.6666666666666665,2.8,2.4,22.0,23.8,23.7,39.666666666666664,39.0,39.0,0.3333333333333333,0.2,0.8,1,1,7
00-0019596,T.Brady,2020_21_KC_TB,2020,21,TB,KC,201.0,3.0,21.0,30.0,0.0,2021-02-07,70.0,286.6666666666667,321.4,309.5,2.3333333333333335,3.0,2.7,20.0,21.6,23.5,38.0,36.8,38.6,1.0,0.8,0.8,1,1,7
00-0019596,T.Brady,2021_01_DAL_TB,2021,1,TB,DAL,379.0,4.0,32.0,50.0,2.0,2021-09-09,64.0,226.66666666666666,292.0,295.5,2.6666666666666665,2.8,2.7,19.666666666666668,21.4,22.8,33.666666666666664,37.2,37.6,1.0,0.8,0.8,0,1,7
00-0019596,T.Brady,2021_02_ATL_TB,2021,2,TB,ATL,276.0,5.0,24.0,39.0,0.0,2021-09-19,61.5,286.6666666666667,288.0,311.8,3.3333333333333335,2.8,2.9,24.333333333333332,22.6,23.4,39.0,38.8,37.7,1.6666666666666667,1.0,0.8,0,1,7
00-0019596,T.Brady,2021_03_TB_LA,2021,3,TB,LA,432.0,1.0,41.0,58.0,0.0,2021-09-26,70.7,285.3333333333333,267.0,304.9,4.0,3.4,3.1,25.666666666666668,23.0,23.1,39.666666666666664,38.0,37.4,0.6666666666666666,1.0,0.6,0,1,7
00-0019596,T.Brady,2021_04_TB_NE,2021,4,TB,NE,269.0,0.0,22.0,44.0,0.0,2021-10-03,50.0,362.3333333333333,313.6,328.5,3.3333333333333335,3.2,3.0,32.333333333333336,27.6,25.7,49.0,42.8,40.9,0.6666666666666666,1.0,0.6,0,1,7
00-0019596,T.Brady,2021_05_MIA_TB,2021,5,TB,MIA,411.0,5.0,30.0,43.0,0.0,2021-10-10,69.8,325.6666666666667,311.4,316.4,2.0,2.6,2.8,29.0,28.0,24.8,47.0,44.2,40.5,0.0,0.4,0.6,0,1,7
00-0019596,T.Brady,2021_06_TB_PHI,2021,6,TB,PHI,297.0,2.0,34.0,42.0,1.0,2021-10-14,81.0,370.6666666666667,353.4,322.7,2.0,3.0,2.9,31.0,29.8,25.6,48.333333333333336,46.8,42.0,0.0,0.4,0.6,1,1,7
00-0019596,T.Brady,2021_07_CHI_TB,2021,7,TB,CHI,211.0,4.0,20.0,36.0,0.0,2021-10-24,55.6,325.6666666666667,337.0,312.5,2.3333333333333335,2.6,2.7,28.666666666666668,30.2,26.4,43.0,45.2,42.0,0.3333333333333333,0.2,0.6,0,1,7
00-0019596,T.Brady,2021_08_TB_NO,2021,8,TB,NO,375.0,4.0,28.0,43.0,2.0,2021-10-31,65.1,306.3333333333333,324.0,295.5,3.6666666666666665,2.4,2.9,28.0,29.4,26.2,40.333333333333336,44.6,41.3,0.3333333333333333,0.2,0.6,1,1,7
00-0019596,T.Brady,2021_10_TB_WAS,2021,10,TB,WAS,220.0,2.0,23.0,34.0,2.0,2021-11-14,67.6,294.3333333333333,312.6,313.1,3.3333333333333335,3.0,3.1,27.333333333333332,26.8,27.2,40.333333333333336,41.6,42.2,1.0,0.6,0.8,1,1,7
00-0019596,T.Brady,2021_11_NYG_TB,2021,11,TB,NYG,307.0,2.0,30.0,46.0,1.0,2021-11-22,65.2,268.6666666666667,302.8,307.1,3.3333333333333335,3.4,3.0,23.666666666666668,27.0,27.5,37.666666666666664,39.6,41.9,1.3333333333333333,1.0,0.7,1,1,7
00-0019596,T.Brady,2021_12_TB_IND,2021,12,TB,IND,226.0,1.0,25.0,36.0,1.0,2021-11-28,69.4,300.6666666666667,282.0,317.7,2.6666666666666665,2.8,2.9,27.0,27.0,28.4,41.0,40.2,43.5,1.6666666666666667,1.2,0.8,1,1,7
00-0019596,T.Brady,2021_13_TB_ATL,2021,13,TB,ATL,368.0,4.0,38.0,51.0,1.0,2021-12-05,74.5,251.0,267.8,302.4,1.6666666666666667,2.6,2.6,26.0,25.2,27.7,38.666666666666664,39.0,42.1,1.3333333333333333,1.2,0.7,1,1,7
00-0019596,T.Brady,2021_14_BUF_TB,2021,14,TB,BUF,363.0,2.0,31.0,48.0,0.0,2021-12-12,64.6,300.3333333333333,299.2,311.6,2.3333333333333335,2.6,2.5,31.0,28.8,29.1,44.333333333333336,42.0,43.3,1.0,1.4,0.8,1,1,7
00-0019596,T.Brady,2021_15_NO_TB,2021,15,TB,NO,214.0,0.0,26.0,52.0,1.0,2021-12-19,50.0,319.0,296.8,304.7,2.3333333333333335,2.2,2.6,31.333333333333332,29.4,28.1,45.0,43.0,42.3,0.6666666666666666,1.0,0.8,1,1,7
00-0019596,T.Brady,2021_16_TB_CAR,2021,16,TB,CAR,232.0,1.0,18.0,31.0,0.0,2021-12-26,58.1,315.0,295.6,299.2,2.0,1.8,2.6,31.666666666666668,30.0,28.5,50.333333333333336,46.6,43.1,0.6666666666666666,0.8,0.9,0,1,7
00-0019596,T.Brady,2021_17_TB_NYJ,2021,17,TB,NYJ,410.0,3.0,34.0,51.0,1.0,2022-01-02,66.7,269.6666666666667,280.6,281.3,1.0,1.6,2.2,25.0,27.6,27.3,43.666666666666664,43.6,41.9,0.3333333333333333,0.6,0.9,1,1,7
00-0019596,T.Brady,2021_18_CAR_TB,2021,18,TB,CAR,326.0,3.0,29.0,38.0,0.0,2022-01-09,76.3,285.3333333333333,317.4,292.6,1.3333333333333333,2.0,2.3,26.0,29.4,27.3,44.666666666666664,46.6,42.8,0.6666666666666666,0.6,0.9,0,1,7
