player_id,player_name,game_id,season,week,team,opponent,rushing_yards,rush_tds,rush_attempts,game_date,ypc,rushing_yards_L3,rushing_yards_L5,rushing_yards_L10,rush_tds_L3,rush_tds_L5,rush_tds_L10,rush_attempts_L3,rush_attempts_L5,rush_attempts_L10,ypc_L3,ypc_L5,ypc_L10
00-0019596,T.Brady,2020_01_TB_NO,2020,1,TB,NO,9.0,1.0,3.0,2020-09-13,3.0,,,,,,,,,,,,
00-0019596,T.Brady,2020_02_CAR_TB,2020,2,TB,CAR,0.0,0.0,1.0,2020-09-20,0.0,9.0,9.0,9.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
00-0019596,T.Brady,2020_03_TB_DEN,2020,3,TB,DEN,0.0,0.0,5.0,2020-09-27,0.0,4.5,4.5,4.5,0.5,0.5,0.5,2.0,2.0,2.0,1.5,1.5,1.5
00-0019596,T.Brady,2020_04_LAC_TB,2020,4,TB,LAC,-3.0,0.0,3.0,2020-10-04,-1.0,3.0,3.0,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0,3.0,3.0,1.0,1.0,1.0
00-0019596,T.Brady,2020_05_TB_CHI,2020,5,TB,CHI,0.0,0.0,3.0,2020-10-08,0.0,-1.0,1.5,1.5,0.0,0.25,0.25,3.0,3.0,3.0,-0.3333333333333333,0.5,0.5
00-0019596,T.Brady,2020_07_TB_LV,2020,7,TB,LV,1.0,1.0,1.0,2020-10-25,1.0,-1.0,1.2,1.2,0.0,0.2,0.2,3.6666666666666665,3.0,3.0,-0.3333333333333333,0.4,0.4
00-0019596,T.Brady,2020_08_TB_NYG,2020,8,TB,NYG,-1.0,0.0,1.0,2020-11-02,-1.0,-0.6666666666666666,-0.4,1.1666666666666667,0.3333333333333333,0.2,0.3333333333333333,2.3333333333333335,2.6,2.6666666666666665,0.0,0.0,0.5
00-0019596,T.Brady,2020_10_TB_CAR,2020,10,TB,CAR,2.0,1.0,2.0,2020-11-15,1.0,0.0,-0.6,0.8571428571428571,0.3333333333333333,0.2,0.2857142857142857,1.6666666666666667,2.6,2.4285714285714284,0.0,-0.2,0.2857142857142857
00-0019596,T.Brady,2020_12_KC_TB,2020,12,TB,KC,-1.0,0.0,1.0,2020-11-29,-1.0,0.6666666666666666,-0.2,1.0,0.6666666666666666,0.4,0.375,1.3333333333333333,2.0,2.375,0.3333333333333333,0.0,0.375
00-0019596,T.Brady,2020_14_MIN_TB,2020,14,TB,MIN,-2.0,0.0,3.0,2020-12-13,-0.7,0.0,0.2,0.7777777777777778,0.3333333333333333,0.4,0.3333333333333333,1.3333333333333333,1.6,2.2222222222222223,-0.3333333333333333,0.0,0.2222222222222222
00-0019596,T.Brady,2020_15_TB_ATL,2020,15,TB,ATL,-2.0,0.0,2.0,2020-12-20,-1.0,-0.3333333333333333,-0.2,0.5,0.3333333333333333,0.4,0.3,2.0,1.6,2.3,-0.2333333333333333,-0.13999999999999999,0.13
00-0019596,T.Brady,2020_17_ATL_TB,2020,17,TB,ATL,3.0,0.0,5.0,2021-01-03,0.6,-1.6666666666666667,-0.8,-0.6,0.0,0.2,0.2,2.0,1.8,2.2,-0.9,-0.54,-0.27
00-0019596,T.Brady,2020_18_TB_WAS,2020,18,TB,WAS,-2.0,0.0,3.0,2021-01-09,-0.7,-0.3333333333333333,0.0,-0.3,0.0,0.2,0.2,3.3333333333333335,2.6,2.6,-0.3666666666666667,-0.22000000000000003,-0.21000000000000002
00-0019596,T.Brady,2020_19_TB_NO,2020,19,TB,NO,2.0,1.0,5.0,2021-01-17,0.4,-0.3333333333333333,-0.8,-0.5,0.0,0.0,0.2,3.3333333333333335,2.8,2.4,-0.3666666666666667,-0.5599999999999999,-0.27999999999999997
00-0019596,T.Brady,2020_20_TB_GB,2020,20,TB,GB,-1.0,0.0,1.0,2021-01-24,-1.0,1.0,-0.2,0.0,0.3333333333333333,0.2,0.3,4.333333333333333,3.6,2.6,0.10000000000000002,-0.27999999999999997,-0.13999999999999999
00-0019596,T.Brady,2020_21_KC_TB,2020,21,TB,KC,-2.0,0.0,4.0,2021-02-07,-0.5,-0.3333333333333333,0.0,-0.1,0.3333333333333333,0.2,0.3,3.0,3.2,2.4,-0.4333333333333333,-0.33999999999999997,-0.24
00-0019596,T.Brady,2021_02_ATL_TB,2021,2,TB,ATL,6.0,0.0,1.0,2021-09-19,6.0,-0.3333333333333333,0.0,-0.4,0.3333333333333333,0.2,0.2,3.3333333333333335,3.6,2.7,-0.3666666666666667,-0.24,-0.39
00-0019596,T.Brady,2021_03_TB_LA,2021,3,TB,LA,14.0,1.0,3.0,2021-09-26,4.7,1.0,0.6,0.3,0.0,0.2,0.2,2.0,2.8,2.7,1.5,0.8400000000000001,0.31
