game_date,week,rusher_player_name,posteam,defteam,rushing_yards,rush_touchdown
2020-09-13,1,R.Mostert,SF,ARI,14.0,0.0
2020-09-13,1,R.Mostert,SF,ARI,2.0,0.0
2020-09-13,1,R.Mostert,SF,ARI,-6.0,0.0
2020-09-13,1,R.Mostert,SF,ARI,0.0,0.0
2020-09-13,1,K.Drake,ARI,SF,2.0,0.0
2020-09-13,1,K.Murray,ARI,SF,1.0,0.0
2020-09-13,1,R.Mostert,SF,ARI,9.0,0.0
2020-09-13,1,K.Juszczyk,SF,ARI,7.0,0.0
2020-09-13,1,R.Mostert,SF,ARI,3.0,0.0
2020-09-13,1,G.Kittle,SF,ARI,9.0,0.0
2020-09-13,1,J.McKinnon,SF,ARI,3.0,0.0
2020-09-13,1,J.McKinnon,SF,ARI,16.0,0.0
2020-09-13,1,R.Mostert,SF,ARI,0.0,0.0
2020-09-13,1,K.Drake,ARI,SF,4.0,0.0
2020-09-13,1,K.Drake,ARI,SF,3.0,0.0
2020-09-13,1,K.Drake,ARI,SF,11.0,0.0
2020-09-13,1,K.Drake,ARI,SF,0.0,0.0
2020-09-13,1,R.Mostert,SF,ARI,3.0,0.0
2020-09-13,1,T.Coleman,SF,ARI,1.0,0.0
2020-09-13,1,K.Murray,ARI,SF,9.0,0.0
2020-09-13,1,K.Drake,ARI,SF,5.0,0.0
2020-09-13,1,K.Drake,ARI,SF,1.0,0.0
2020-09-13,1,R.Mostert,SF,ARI,3.0,0.0
2020-09-13,1,C.Edmonds,ARI,SF,20.0,0.0
2020-09-13,1,K.Murray,ARI,SF,0.0,0.0
2020-09-13,1,C.Edmonds,ARI,SF,3.0,0.0
2020-09-13,1,K.Murray,ARI,SF,25.0,0.0
2020-09-13,1,C.Edmonds,ARI,SF,2.0,0.0
2020-09-13,1,K.Murray,ARI,SF,8.0,0.0
2020-09-13,1,R.Mostert,SF,ARI,2.0,0.0
2020-09-13,1,K.Murray,ARI,SF,11.0,0.0
2020-09-13,1,K.Drake,ARI,SF,7.0,0.0
2020-09-13,1,C.Edmonds,ARI,SF,3.0,0.0
2020-09-13,1,C.Edmonds,ARI,SF,-4.0,0.0
2020-09-13,1,R.Mostert,SF,ARI,6.0,0.0
2020-09-13,1,R.Mostert,SF,ARI,5.0,0.0
2020-09-13,1,R.Mostert,SF,ARI,2.0,0.0
2020-09-13,1,T.Coleman,SF,ARI,7.0,0.0
